"Azure Well-Architected Review - Jan 12, 2023 - 9:35:51 AM",,,,,
,,,,,
Recommendations for your workload,,,,,
Your overall results,Critical,'6/100',,,
Cost Optimization,Critical,'7/100',,,
Performance Efficiency,Critical,'4/100',,,
,,,,,
Next Steps,,,,,
"Review, identify, and classify business critical applications",https://learn.microsoft.com/azure/architecture/framework/security/design-apps-services,,,,
Define RPO and RTO for your workload,https://learn.microsoft.com/azure/architecture/framework/Resiliency/business-metrics#recovery-metrics,,,,
Review limits,https://learn.microsoft.com/azure/architecture/framework/devops/release-engineering-app-dev?branch=main,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Cost Optimization,Understand the cost implications of Availability Zones,https://azure.microsoft.com/en-us/global-infrastructure/availability-zones/,Medium,Application Design,Design,50,"Availability Zones can be used to optimize application availability within a region by providing datacenter level fault tolerance. However, the application architecture must not share dependencies between zones to use them effectively. It is also important to note that Availability Zones may introduce performance and cost considerations for applications which are extremely 'chatty' across zones given the implied physical separation between each zone and inter-zone bandwidth charges. That also means that AZ can be considered to get higher Service Level Agreement (SLA) for lower cost. Be aware of  pricing changes coming to Availability Zone bandwidth starting February 2021.",N,
Cost Optimization,Set up a disaster recovery strategy that splits the application components and data into defined groups,https://learn.microsoft.com/azure/backup/guidance-best-practices,Medium,Application Design,Design,50,"Exclude disk  provides an efficient and cost-effective choice to selectively back up critical data. For example, back up only one disk when you don't want to back up the rest of the disks attached to a VM. This is also useful when you have multiple backup solutions. For example, when you back up your databases or data with a workload backup solution (SQL Server database in Azure VM backup) and you want to use Azure VM level backup for selected disks.",N,
Cost Optimization,Choose appropriate region for workload deployments,https://learn.microsoft.com/azure/architecture/framework/cost/design-checklist#architecture,Medium,Application Design,Design,50,"Check your egress and ingress cost, within regions and across regions. Only deploy to multiple regions if your service levels require it for either availability or geo-distribution.",N,
Cost Optimization,Have ongoing conversation between app owner and business,https://learn.microsoft.com/azure/architecture/framework/cost/monitor-reviews,Medium,Governance,Culture & Dynamics,50,"Is what's delivered from IT and what the business is expecting from IT, mapped to the cost of the application?",N,
Cost Optimization,Leverage the hybrid use benefit,https://azure.microsoft.com/en-us/pricing/hybrid-benefit/,Medium,Governance,Licensing,50,Understanding your current spending on licenses can help you drive down cost in the cloud. A-HUB allows you to reuse licenses that you purchased for on-premises in Azure and via this drive down the cost as the license is already paid.,N,
Cost Optimization,Set up alerts for cost limits and thresholds,https://learn.microsoft.com/azure/architecture/framework/cost/monitor-alert#respond-to-alerts,Medium,Health Modeling & Monitoring,Alerting,50,"This is to ensure that if any budget is close to threshold, the cost owner gets notified to take appropriate actions on the change.",N,
Cost Optimization,Understand the operational capabilities of Azure services,https://learn.microsoft.com/azure/architecture/framework/cost/design-paas,Medium,Application Design,Application Composition,50,"Operational capabilities, such as auto-scale and auto-heal for App Services, can reduce management overheads, support operational effectiveness and reduce cost.",N,
Cost Optimization,Use data lifecycle policy,https://learn.microsoft.com/azure/storage/blobs/storage-lifecycle-management-concepts,Medium,Health Modeling & Monitoring,Resource and Infrastructure Level Monitoring,50,"Azure storage offers different access tiers, allowing you to store blob object data in the most cost-effective manner. Available access tiers include: Hot (Optimized for storing data that is accessed frequently), Cool (Optimized for storing data that is infrequently accessed and stored for at least 30 days), and Archive (Optimized for storing data that is rarely accessed and stored for at least 180 days with flexible latency requirements, on the order of hours).",N,
Cost Optimization,Define critical system flows,https://learn.microsoft.com/azure/architecture/framework/resiliency/business-metrics#identify-critical-system-flows,Medium,Application Design,Key Scenarios,50,"Understanding critical system flows is vital to assessing overall operational effectiveness, and should be used to inform a health model for the application. It can also tell if areas of the application are over or under-utilized and should be adjusted to better meet business needs and cost goals.",N,
Cost Optimization,Consider B-series VMs,https://learn.microsoft.com/azure/virtual-machines/sizes-b-series-burstable,Medium,Capacity & Service Availability Planning,Efficiency,50,"The B-series provides you with the ability to purchase a VM size with baseline performance that can build up credits when it is using less than its baseline. These  types of VMs are ideal for workloads that do not need the full performance of the CPU continuously, like web servers, proof of concepts, small databases and development build environments. ",N,
Cost Optimization,Pause AKS clusters,https://learn.microsoft.com/azure/aks/start-stop-cluster,Medium,Capacity & Service Availability Planning,Efficiency,50,"To optimize your costs when AKS workloads may not need to run continuously, you can completely turn off (stop) your cluster. This action will stop your control plane and agent nodes altogether, allowing you to save on all the compute costs, while maintaining all your objects and cluster state stored for when you start it again. ",N,
Cost Optimization,Use App Service Premium (v3) plan where possible,https://learn.microsoft.com/azure/app-service/app-service-configure-premium-tier,Medium,Application Design,Application Composition,50,Opportunity to save costs with upgrade and apply reservations.,N,
Cost Optimization,Consider using Service Endpoints and Private Link,https://learn.microsoft.com/azure/private-link/private-endpoint-overview,Medium,Security & Compliance,Network Security,50,"Service Endpoints and Private Link can be leveraged to restrict access to PaaS endpoints from only authorized virtual networks, effectively mitigating data intrusion risks and associated impact to application availability. Service Endpoints provide service level access to a PaaS service, while Private Link provides direct access to a specific PaaS resource to mitigate data exfiltration risks (e.g. malicious admin scenarios).",N,
Cost Optimization,Map application dependencies,https://learn.microsoft.com/azure/azure-monitor/app/app-map?tabs=net,Medium,Application Design,Dependencies,50,"Examples of typical dependencies include platform dependencies outside the remit of the application, such as Azure Active Directory, Express Route, or a central NVA (Network Virtual Appliance), as well as application dependencies such as APIs which may be in-house or externally owned by a third-party. For cost it's important to understand the price for these services and how they are being charged, this makes it easier to understanding an all-up cost. For more details see cost models.",N,
Cost Optimization,Prefer Microsoft backbone for networking,https://learn.microsoft.com/azure/architecture/reference-architectures/hybrid-networking/,Medium,Networking & Connectivity,Connectivity,50,Are you closer to your users or on-prem? If users are closer to the cloud you should use MSFT (i.e. egress traffic). MPLS is when another service provider gives you the line.,N,
Cost Optimization,Consider additional DDoS protection,https://azure.microsoft.com/services/ddos-protection/,Medium,Networking & Connectivity,Endpoints,50," Azure DDoS Protection Standard, combined with application design best practices, provides enhanced DDoS mitigation features to defend against DDoS attacks. It is automatically tuned to help protect your specific Azure resources in a virtual network.",N,
Cost Optimization,Be aware of cross-region data transfer costs,https://learn.microsoft.com/azure/architecture/framework/cost/provision-networking#peering,Medium,Networking & Connectivity,Data flow,50,Moving data between regions can add additional cost - both on the storage layer or networking layer. It's worth reviewing if this cost is can be replaced via re-architecture or justified due to e.g. disaster recovery (DR).,N,
Cost Optimization,Understand cost implications of hub and spoke design,https://learn.microsoft.com/azure/architecture/networking/hub-spoke-vwan-architecture,Medium,Networking & Connectivity,Data flow,50,Consider using a hub and spoke approach to save costs by using a managed service and removing the necessity of network virtual appliance.,N,
Cost Optimization,Consider using shared disks for suitable workloads,https://learn.microsoft.com/azure/virtual-machines/disks-shared,Medium,Capacity & Service Availability Planning,Efficiency,50,"Shared managed disks offer shared block storage that can be accessed from multiple VMs, these are exposed as logical unit numbers (LUNs). LUNs are then presented to an initiator (VM) from a target (disk). These LUNs look like direct-attached-storage (DAS) or a local drive to the VM.",N,
Cost Optimization,Consider using reserved Premium disks,https://learn.microsoft.com/azure/virtual-machines/disks-reserved-capacity,Medium,Capacity & Service Availability Planning,Efficiency,50,"Azure Disk Storage reservations are available only for select Azure premium SSD SKUs. The SKU of a premium SSD determines the disk's size and performance. A disk reservation is made per disk SKU. As a result, the reservation consumption is based on the unit of the disk SKUs instead of the provided size. Make sure you track the usage in disk SKUs instead of provisioned or used disk capacity.",N,
Cost Optimization,Consider spot VMs,https://learn.microsoft.com/azure/architecture/framework/cost/optimize-vm#spot-vms,Medium,Capacity & Service Availability Planning,Efficiency,50,"Spot VMs are ideal for workloads that can be interrupted, such as highly parallel batch processing jobs. These VMs take advantage of the surplus capacity in Azure at a lower cost. They're also well suited for experimental, development, and testing of large-scale solutions.",N,
Cost Optimization,The entire end-to-end CI/CD deployment process should be understood,https://azure.microsoft.com/en-us/pricing/details/devops/azure-devops-services/,Medium,Deployment & Testing,Application Code Deployments,50," ",N,
Cost Optimization,Use cost modeling to identify opportunities for cost reduction,https://learn.microsoft.com/azure/architecture/framework/cost/design-model,Medium,Governance,Financial Management & Cost Models,50,"Estimate and track costs, educate the employees about the cloud and various pricing models, have appropriate governance about expenditure.",N,
Cost Optimization,Understand how the budget is defined,https://learn.microsoft.com/azure/architecture/framework/cost/monitor-alert#revise-budgets,Medium,Governance,Culture & Dynamics,50,"It is important to have a clear understanding how an IT budget is defined. This is especially true for applications that are not built in-house, where IT budget has to be factored in as part of the delivery.",N,
Cost Optimization,Define a clear price model for individual services,https://learn.microsoft.com/azure/architecture/framework/cost/design-price,Medium,Capacity & Service Availability Planning,Efficiency,50,As part of driving a good behavior it's important that the consumer has understood why they are paying the price for a service and also that the cost is transparent and fair to the user of the service or else it can drive wrong behavior.,N,
Cost Optimization,Develop a plan to modernize the workload,https://learn.microsoft.com/dotnet/architecture/serverless/,Low,Application Design,Design,10,"Is there a plan to change the execution model to Serverless? To move as far as you can up the stack towards cloud-native. When the workload is serverless, it's charged only for actual use, whereas with traditional infrastructure there are many underlying things that need to be factored into the price. By applying an end date to the application it encourages you to discuss the goal of re-designing the application to make even better use of the cloud. It might be more expensive from an Azure cost point of view but factoring in other things like licenses, people, time to deploy can drive down cost.",N,
Cost Optimization,Use developer SKUs for dev/test purposes,https://azure.microsoft.com/en-us/pricing/dev-test/,Low,Deployment & Testing,Testing & Validation,10,"Special SKUs and subscription offers for development and testing purposes can save costs, but have to be used properly. Dev SKUs are not meant for production deployments.",N,
Cost Optimization,Consider VM Zone to Zone DR,https://learn.microsoft.com/azure/site-recovery/azure-to-azure-how-to-enable-zone-to-zone-disaster-recovery,Low,Application Design,Design,10,Site Recovery does not move or store customer data out of the region in which it is deployed when the customer is using Zone to Zone Disaster Recovery.  Note that the egress charges that you would see in zone to zone disaster recovery would be lower than region to region disaster recovery.,N,
Cost Optimization,Be aware of cost implications of Web Application Firewall,https://azure.microsoft.com/pricing/details/web-application-firewall/,Low,Networking & Connectivity,Endpoints,10,"There are cost implications to using Front Door with Web Application Firewall enabled, but it can save costs compared to using a 3rd party solution. Front Door has a good latency, because it uses unicast. If only 1 or 2 regions are required, Application Gateway can be used. There are cost implications of having a WAF - you should check pricing of hours and GB/s.",N,
Cost Optimization,Be aware of extra cost when tunnelling traffic through on-premises,https://learn.microsoft.com/azure/firewall/forced-tunneling,Low,Networking & Connectivity,Data flow,10,Consider the extra cost related to data ingress and egress if your application requires to use forced tunneling.,N,
Cost Optimization,Consider multi-tenant or microservices scenarios when running multiple applications,https://azure.microsoft.com/en-us/solutions/microservice-applications/,Low,Capacity & Service Availability Planning,Efficiency,10,"When running multiple applications (typically in multi-tenant or microservices scenarios) density can be increased by deploying them on shared infrastructure and utilizing it more. For example: Containerization and moving to Kubernetes (Azure Kubernetes Services) enables pod-based deployment which can utilize underlying nodes efficiently. Similar approach can be taken with App Service Plans. To prevent the 'noisy neighbor' situation, proper monitoring must be in place and performance analysis must be done (if possible).",N,
Cost Optimization,Consider the ratio of non-production to production environments,https://learn.microsoft.com/azure/architecture/framework/cost/design-resources#subscription-and-offer-type,Low,Deployment & Testing,Build Environments,10,Consider using appropriate subscriptions types for Dev workloads and ensure production workloads are deployed in the correct subscription.,N,
Cost Optimization,Consider shared platforms,https://learn.microsoft.com/azure/architecture/framework/cost/design-paas,Low,Application Design,Design,10," ",N,
Performance Efficiency,Determine and document what acceptable performance is,https://learn.microsoft.com/azure/architecture/framework/scalability/performance-efficiency,High,Application Design,Targets & Non-Functional Requirements,70,Determine and document what acceptable performance is,N,
Performance Efficiency,The health model can determine if a fault is transient,https://learn.microsoft.com/azure/architecture/best-practices/transient-faults,Medium,Health Modeling & Monitoring,Data Interpretation & Health Modeling,59,The health model can determine if a fault is transient,N,
Performance Efficiency,Use microservices when possible,https://learn.microsoft.com/azure/architecture/framework/scalability/design-apps,Medium,Application Design,Design,50,Use microservices when possible,N,
Performance Efficiency,Identify sensible non-functional requirements,https://learn.microsoft.com/azure/architecture/performance/#general-best-practices,Medium,Application Design,Targets & Non-Functional Requirements,50,Identify sensible non-functional requirements,N,
Performance Efficiency,Monitor how long it takes to scale against your targets,https://learn.microsoft.com/azure/architecture/framework/scalability/monitor-infrastructure,Medium,Application Performance Management,Elasticity,50,Monitor how long it takes to scale against your targets,N,
Performance Efficiency,Leverage autoscaling to scale in and out as load varies,https://learn.microsoft.com/azure/architecture/framework/scalability/design-scale,Medium,Application Performance Management,Elasticity,50,Leverage autoscaling to scale in and out as load varies,N,
Performance Efficiency,Choose metrics appropriately for your scaling policies,https://learn.microsoft.com/azure/architecture/framework/Scalability/capacity#choosing-metrics-for-scaling-policies,Medium,Application Performance Management,Elasticity,50,Choose metrics appropriately for your scaling policies,N,
Performance Efficiency,Preemptively scale based on trends,https://learn.microsoft.com/azure/architecture/framework/Scalability/capacity#preemptively-scaling-based-on-trends,Medium,Application Performance Management,Elasticity,50,Preemptively scale based on trends,N,
Performance Efficiency,Know how long it takes to respond to scaling events,https://learn.microsoft.com/azure/architecture/framework/scalability/performance-test#load-testing,Medium,Application Performance Management,Elasticity,50,Know how long it takes to respond to scaling events,N,
Performance Efficiency,Build a capacity model for your workload,https://learn.microsoft.com/azure/architecture/framework/scalability/design-capacity,Medium,Capacity & Service Availability Planning,Scalability & Capacity Model,50,Build a capacity model for your workload,N,
Performance Efficiency,Monitor capacity utilization to forecast future growth,https://learn.microsoft.com/azure/architecture/framework/scalability/design-capacity#use-metrics-to-fine-tune-scaling,Medium,Capacity & Service Availability Planning,Scalability & Capacity Model,50,Monitor capacity utilization to forecast future growth,N,
Performance Efficiency,Evaluate service limits and quotas to ensure they can support future growth,https://learn.microsoft.com/azure/azure-resource-manager/management/azure-subscription-service-limits,Medium,Capacity & Service Availability Planning,Scalability & Capacity Model,50,Evaluate service limits and quotas to ensure they can support future growth,N,
Performance Efficiency,Offload SSL traffic by using the gateway offloading pattern,https://learn.microsoft.com/azure/architecture/patterns/gateway-offloading,Medium,Networking & Connectivity,Endpoints,50,Offload SSL traffic by using the gateway offloading pattern,N,
Performance Efficiency,Understand your performance bottlenecks around latency and throughput,https://learn.microsoft.com/azure/architecture/framework/scalability/performance-test,Medium,Application Performance Management,Data Latency and Throughput,50,Understand your performance bottlenecks around latency and throughput,N,
Performance Efficiency,Test and validate your defined latency and throughput targets,https://learn.microsoft.com/azure/networking/azure-network-latency,Medium,Application Performance Management,Data Latency and Throughput,50,Test and validate your defined latency and throughput targets,N,
Performance Efficiency,Consider using proximity placement groups for components that are very sensitive to network latency,https://learn.microsoft.com/azure/virtual-machines/windows/co-location#proximity-placement-groups,Medium,Application Performance Management,Data Latency and Throughput,50,Consider using proximity placement groups for components that are very sensitive to network latency,N,
Performance Efficiency,Acquire dedicated networking resources as required,https://learn.microsoft.com/azure/expressroute/expressroute-introduction,Medium,Application Performance Management,Network Throughput and Latency,50,Acquire dedicated networking resources as required,N,
Performance Efficiency,Design for eventual consistency,https://learn.microsoft.com/azure/cosmos-db/consistency-levels,Medium,Data Platform Availability,Consistency,50,Design for eventual consistency,N,
Performance Efficiency,Plan for the growth of your data over time,https://learn.microsoft.com/azure/architecture/framework/scalability/design-scale#plan-for-growth,Medium,Application Performance Management,Data Size/Growth,50,Plan for the growth of your data over time,N,
Performance Efficiency,Learn how to use network capturing tools,https://learn.microsoft.com/azure/virtual-network/virtual-network-tap-overview#virtual-network-tap-partner-solutions,Medium,Performance Testing,Troubleshooting,50,Learn how to use network capturing tools,N,
Performance Efficiency,Choose the right database to match usage,https://learn.microsoft.com/azure/architecture/framework/Scalability/design-apps#choose-the-right-data-storage,Medium,Application Design,Design,50,Choose the right database to match usage,N,
Performance Efficiency,Identify human and environmental resources needed to create performance tests,https://learn.microsoft.com/azure/architecture/framework/scalability/tradeoffs#performance-efficiency-vs-operational-excellence,Medium,Performance Testing,Tools & Planning,50,Identify human and environmental resources needed to create performance tests,N,
Performance Efficiency,Optimize your database queries,https://learn.microsoft.com/azure/architecture/performance/backend-services#step-4-optimize-the-query,Medium,Performance Testing,Benchmarking,50,Optimize your database queries,N,
Performance Efficiency,Have an overall monitoring strategy for scalability,https://learn.microsoft.com/azure/architecture/framework/Scalability/design-distributed,Medium,Health Modeling & Monitoring,Data Interpretation & Health Modeling,50,Have an overall monitoring strategy for scalability,N,
Performance Efficiency,Define a testing strategy,https://learn.microsoft.com/azure/architecture/framework/scalability/test-checklist#performance-testing,Medium,Deployment & Testing,Testing & Validation,50,Define a testing strategy,N,
Performance Efficiency,Identify baseline performance targets and goals,https://learn.microsoft.com/azure/architecture/framework/scalability/test-tools#identify-baselines-and-goals-for-performance,Medium,Application Design,Targets & Non-Functional Requirements,50,Identify baseline performance targets and goals,N,
Performance Efficiency,Aggregate application and resource logs,https://learn.microsoft.com/azure/azure-monitor/logs/cross-workspace-query,Medium,Health Modeling & Monitoring,Data Interpretation & Health Modeling,50,Aggregate application and resource logs,N,
