"MeterId";"MeterRates";"MeterCategory";"Unit";"MeterName";"MeterSubCategory";"MeterRegion"
"24eabb89-f701-4e5e-b16f-0c9012c1648d";"1.138455";"Azure App Service";"1 Hour";"I12";"Isolated Plan";"DE West Central"
"e6dc4ad3-3462-44eb-941e-cc8601372af2";"0.008433";"Storage";"1 GB";"Cool Data Retrieval";"Azure Data Lake Storage Gen2 Flat Namespace";"DE West Central"
"ba53ede8-ef80-4801-82fd-57605d15bddc";"0.201548";"Cloud Services";"1 Hour";"D16 v3 Low Priority";"Dv3 Series";"DE North"
"487a9dc1-de65-447a-aafc-7edd67c1c243";"8.043395";"HDInsight";"1 Hour";"G5";"G Series";"DE West Central"
"6a3ad461-86d5-4c5c-a37e-0569841bd604";"0.6544";"Virtual Machines";"1 Hour";"F16s v2";"FSv2 Series";"DE West Central"
"0b598c93-e532-4237-a492-1f1ef123c527";"0.154323";"Application Gateway";"1 Hour";"Medium Gateway";"WAF";"DE North"
"f0232615-5e7a-56b7-aad0-b0548e13114c";"0.310334";"Virtual Machines";"1 Hour";"D32 v4 Low Priority";"Dv4 Series Windows";"DE West Central"
"b8326d64-3901-46b2-85cc-af6b886fa88f";"0.130711";"Azure Database for MySQL";"1 GB/Month";"LRS Data Stored";"Backup Storage";"DE North"
"7565f12b-3a4c-480c-8ebd-57b9e2c794e7";"0.010962";"Storage";"1 GB";"Cool Data Retrieval";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE North"
"fc93e786-4491-5997-a0b0-4ab34d8b914e";"0.167395";"Azure Data Factory v2";"1 Hour";"vCore";"Data Flow - Compute Optimized";"DE West Central"
"e5e26d8e-3e8a-489d-b397-7c0243dbae23";"0.016866";"Storage";"1 GB/Month";"Cool GRS Data Stored";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE West Central"
"73bb1343-c999-4387-9616-5f1a09305472";"0.727767";"Cloud Services";"1 Hour";"D13 v2";"Dv2 Series";"DE North"
"2cae23a6-b7f2-43c1-a174-8807fa5ee984";"0.016528";"Storage";"1 GB/Month";"Hot LRS Data Stored";"Tiered Block Blob";"DE West Central"
"2a8867c2-2f31-49b5-87a0-63db85eb65df";"0.425023";"Virtual Machines";"1 Hour";"F8s v2";"FSv2 Series Windows";"DE North"
"16f141d9-b06f-4449-877b-15add231a79d";"0.003626";"Storage";"10K";"Hot Read Operations";"Azure Data Lake Storage Gen2 Flat Namespace";"DE West Central"
"414173df-c2d5-4085-a679-60cd2d97e505";"0.67464";"Virtual Machines";"1 Hour";"D13 v2/DS13 v2";"Dv2/DSv2 Series Windows";"DE West Central"
"b37e52ea-74cc-4b8d-acca-cac04b9ae827";"7.508743";"Event Hubs";"1/Day";"Dedicated Capacity Unit";"";"DE North"
"404e7be4-34d3-58e7-8a3f-34530c7fe377";"0.409843";"Virtual Machines";"1 Hour";"E32 v4 Low Priority";"Ev4 Series";"DE West Central"
"ac70d88a-1d86-4946-b32e-d5e9ec5ec202";"1.079424";"HDInsight";"1 Hour";"NC6";"NC Series";"DE West Central"
"0e262bab-8112-4241-9602-b30e48037326";"0.155167";"Cloud Services";"1 Hour";"D16 v3 Low Priority";"Dv3 Series";"DE West Central"
"a85cc2a2-1b3d-4bd6-91fb-7bad2b9410e2";"4.319382";"HDInsight";"1 Hour";"NC24";"NC Series";"DE West Central"
"bf7a6387-b005-4d97-99bb-1998c3148026";"0.177093";"Redis Cache";"1 Hour";"C4 Cache";"Basic";"DE West Central"
"8b94c59d-e047-4eeb-a680-4fdc9011f77d";"0.090233";"HDInsight";"1 Hour";"D1";"D Series";"DE North"
"769d5afe-bfda-5403-b902-4292123693c5";"0.0";"Storage";"1M";"Cool GRS Blob Inventory";"Tiered Block Blob";"DE North"
"29c8f275-2063-44ae-90a1-c2e67922a7fa";"0.041321";"Storage";"1 GB/Month";"Hot RA-GRS Data Stored";"General Block Blob v2 Hierarchical Namespace";"DE West Central"
"bfae4fb2-9631-5b10-8fd6-4d132f7437d3";"0.0";"Storage";"1M";"Cool GZRS Blob Inventory";"Tiered Block Blob";"DE West Central"
"30559762-b4fd-4e3e-824d-d1a3bd3f9f40";"0.559951";"HDInsight";"1 Hour";"G1";"G Series";"DE West Central"
"89948bb1-c3ac-48b7-b383-36b9e3c2b8fe";"0.010962";"Storage";"1 GB";"Cool ZRS Data Retrieval";"Tiered Block Blob";"DE North"
"10047085-1320-511f-a7a3-0973e05f4e8f";"0.0";"Storage";"1M";"Cool ZRS Blob Inventory";"Tiered Block Blob";"DE North"
"ef48a95f-d145-47ea-be90-11aae89acb22";"0.025299";"Backup";"1 GB/Month";"LRS Data Stored";"";"DE West Central"
"86b07904-82c3-45a1-a9ac-a126d5d56170";"1.399878";"Cloud Services";"1 Hour";"D15 v2";"Dv2 Series";"DE West Central"
"1b052466-f56b-48ae-8be2-85034fb84a4f";"0.010119";"Azure Cosmos DB";"1/Hour";"AP4 - 100 RUs";"autoscale";"DE West Central"
"60b45553-e2d0-4dd5-a0dd-e122ecbea120";"135.982125";"Power BI Embedded";"1 Hour";"A8";"";"DE West Central"
"ed7cea8b-4405-45eb-8124-6ed9734ee232";"0.193959";"Storage";"10K";"Archive GRS Write Operations";"Azure Data Lake Storage Gen2 Flat Namespace";"DE West Central"
"8890282c-292f-46a2-a201-4b49362a422e";"0.109629";"Storage";"10K";"Cool Write Operations";"Azure Data Lake Storage Gen2 Flat Namespace";"DE North"
"6f977077-d951-4f33-8074-f187f5738a2c";"0.800291";"Virtual Machines";"1 Hour";"E48 v3/E48s v3 Low Priority";"Ev3/ESv3 Series Windows";"DE North"
"796dd152-2ada-411f-90ad-0db589401806";"0.387918";"Cloud Services";"1 Hour";"D8 v3";"Dv3 Series";"DE West Central"
"8bc50115-6c0e-419b-a08e-3985b8ed32cf";"1.381325";"Power BI Embedded";"1 Hour";"A1";"";"DE North"
"84f0fdbf-1afd-4dd4-b885-4db3b3f403f3";"5.677095";"Azure App Service";"1 Hour";"I14";"Isolated Plan";"DE West Central"
"e8e503a5-a76b-4533-a82a-954df8c6eec9";"0.131554";"Storage";"10K";"Archive LRS Write Operations";"Tiered Block Blob";"DE North"
"e6230db0-650e-4dcd-ba44-2635d0308d6f";"0.118062";"Storage";"10K";"Hot GRS Write Operations";"General Block Blob v2 Hierarchical Namespace";"DE West Central"
"d2fb181c-d445-4e59-8e52-ddbdfb0bbb41";"1671.563961";"Storage";"1/Month";"P70 Disks";"Premium Page Blob";"DE West Central"
"929d8d1d-8998-4b51-8bde-7c395bb87add";"0.249616";"Virtual Machines";"1 Hour";"F16s v2 Low Priority";"FSv2 Series Windows";"DE West Central"
"4074f890-4165-5d38-af9c-b803ceb53e36";"0.366835";"Virtual Machines";"1 Hour";"D32d v4 Low Priority";"Ddv4 Series";"DE West Central"
"c427bfdd-cf1a-46c3-a29f-7b75ff791891";"0.011047";"Storage";"1 GB";"Cool ZRS Early Delete";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE West Central"
"463dd41b-d9b5-4146-9826-325c1ac26ff7";"0.001517";"Storage";"1 GB/Month";"Archive LRS Data Stored";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE West Central"
"91a0958b-83e3-57b4-95bb-2eeecff91032";"0.0";"Storage";"1M";"Archive GRS Blob Inventory";"General Block Blob v2 Hierarchical Namespace";"DE West Central"
"d5a275b2-316e-5ba9-ad4b-741cb951260a";"7.279365";"Logic Apps";"1 Hour";"Base Units";"Integration Service Environment";"DE West Central"
"d9aa0941-ba76-478e-b7fc-e7d1250ebdbf";"0.543928";"Virtual Machines";"1 Hour";"A8m v2";"Av2 Series Windows";"DE North"
"a3417583-b5be-46eb-9581-5055e37437b7";"0.006577";"Virtual Machines";"1 Hour";"B1ls";"BS Series";"DE North"
"7f265009-98af-4dc0-ab2a-e2a3d0870231";"0.050598";"Backup";"1 GB/Month";"GRS Data Stored";"";"DE West Central"
"5326ddaa-a55b-4727-bf26-b87d77909eb1";"0.003373";"Storage";"10K";"ZRS Class 2 Operations";"Queues v2";"DE West Central"
"6f1d78db-bb09-403f-b5cb-a7fef4e10c93";"0.266482";"Azure App Service";"1 Hour";"B3";"Basic Plan";"DE West Central"
"2fd82d95-6fb3-5ff5-938f-b7455c6921b1";"1.025452";"Virtual Machines";"1 Hour";"E80is v4 Low Priority";"Esv4 Series";"DE West Central"
"1e66fba4-e18e-42bd-852c-b0634b8f5be3";"0.00877";"Azure API for FHIR";"1/Hour";"100 Provisioned Throughput RU/s";"";"DE West Central"
"9d3a4153-56e2-5a1e-b907-09eb88e781bb";"0.620668";"Virtual Machines";"1 Hour";"D64s v4 Low Priority";"Dsv4 Series Windows";"DE West Central"
"67cbe980-94e8-4af4-99dc-4176ef1a3762";"0.389604";"Azure App Service";"1 Hour";"P3 v2";"Premium v2 Plan - Linux";"DE West Central"
"227be7c5-602c-4679-9673-3b13c5aaa19e";"0.034575";"Virtual Machines";"1 Hour";"A1 v2";"Av2 Series";"DE West Central"
"5b9a193c-d74c-4962-babe-10467468de96";"1.023766";"Virtual Machines";"1 Hour";"M32s Low Priority";"MS Series";"DE North"
"0185af42-f8e8-4a4d-8617-2d0ebb02cc44";"0.010962";"Storage";"1 GB/Month";"Cool LRS Data Stored";"General Block Blob v2 Hierarchical Namespace";"DE North"
"f322ce0c-26be-458d-89c2-dc2b2869ff7b";"0.943652";"Virtual Machines";"1 Hour";"M16ms Low Priority";"MS Series";"DE North"
"230b5047-9800-4fad-9935-e25cbef62edb";"0.156659";"Azure Database for PostgreSQL";"1 Hour";"vCore";"Memory Optimized - Compute Gen5";"DE North"
"9ac25926-b59c-4114-8b88-94d264f8bc0a";"0.07674";"Storage";"1 GB/Month";"Hot RA-GRS Index";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE North"
"0b2c3a19-66a2-4fb8-90fa-1a0e8250b7ed";"587.44278";"Azure Monitor";"1/Day";"300 GB Capacity Reservation";"";"DE West Central"
"f03d89e4-ed5a-5db2-9dd9-7115c98601e8";"0.0";"Storage";"1M";"Cool LRS Blob Inventory";"General Block Blob v2 Hierarchical Namespace";"DE West Central"
"508625cf-b6ac-4cdc-b65c-c935c21d9865";"0.010962";"Storage";"10K";"Cool Read Operations";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE West Central"
"846773f2-5c57-41c9-a7ab-a23745ef2610";"0.166973";"Virtual Machines";"1 Hour";"E2 v3/E2s v3";"Ev3/ESv3 Series";"DE North"
"a163ba4c-e5ab-4b64-a004-04375a0b9c55";"0.059031";"Azure Cosmos DB";"1/Hour";"256 GiB Disk";"Compute Attached SSD Disk";"DE North"
"fad3415d-cdd1-534e-9a99-aa21dd8a1087";"1.025452";"Virtual Machines";"1 Hour";"E16-8s v4";"Esv4 Series Windows";"DE West Central"
"3f2e8807-ace8-4225-81b4-6c5d280b28f0";"0.003373";"Storage";"10K";"ZRS Class 1 Operations";"Queues v2";"DE West Central"
"f555ff33-edc7-44be-ae1f-a11e4496aa41";"0.011047";"Storage";"1 GB/Month";"Cool ZRS Data Stored";"Tiered Block Blob";"DE West Central"
"1c38e014-6e9b-497c-88b7-73cb9e548d6c";"0.460441";"Cloud Services";"1 Hour";"A8m v2";"Av2 Series";"DE West Central"
"6e9e6584-43bb-57ed-b952-568cec236320";"0.291781";"Virtual Machines";"1 Hour";"E20ds v4 Low Priority";"Edsv4 Series Windows";"DE West Central"
"87069e98-d9e5-4363-9f66-48a576b25ef1";"7.066854";"Azure Cosmos DB";"1 Hour";"E64s";"Memory Optimized Analytics Compute";"DE West Central"
"fb4b3e88-949f-4982-aaf8-188fc3f56cce";"1.008586";"Cloud Services";"1 Hour";"D16 v3";"Dv3 Series";"DE North"
"f793749f-fcb5-5589-bc8a-4537f3240c7e";"0.00877";"Application Gateway";"1/Hour";"Capacity Units";"Standard v2";"DE North"
"247af7ef-4ce5-5ed2-b587-545d855518a7";"0.82053";"Virtual Machines";"1 Hour";"E64-16s v4 Low Priority";"Esv4 Series";"DE West Central"
"dd6e8a3e-d24e-409e-8b48-33086b40a576";"0.155167";"Virtual Machines";"1 Hour";"D16 v3/D16s v3 Low Priority";"Dv3/DSv3 Series Windows";"DE West Central"
"f82195fd-c6c3-5db9-92f0-98aca03f257b";"0.285035";"Azure Cosmos DB";"1 GB";"Continuous Backup";"PITR";"DE North"
"d1266edb-d375-58e3-90a0-f8bb5fb79eea";"0.233594";"Virtual Machines";"1 Hour";"E16-8ds v4 Low Priority";"Edsv4 Series";"DE West Central"
"b324ab1b-5641-4de7-a843-4ca001bac1a1";"0.03331";"Cloud Services";"1 Hour";"E2 v3 Low Priority";"Ev3 Series";"DE North"
"1bb1ffb5-af9e-4f13-a0bd-967f0847b0c6";"0.138301";"Cloud Services";"1 Hour";"D4 v2 Low Priority";"Dv2 Series";"DE North"
"a061c272-77aa-43b1-84c8-8caf5b86c5a4";"0.080113";"Azure App Service";"1 Hour";"S1";"Standard Plan - Linux";"DE West Central"
"e4a0c5a1-7240-5f03-b8db-3074d12edca5";"0.550674";"Virtual Machines";"1 Hour";"D48d v4 Low Priority";"Ddv4 Series";"DE West Central"
"d1e609b9-b0e8-5c1b-8e84-4b6aea30297f";"0.33732";"Azure Cosmos DB";"1M";"1M RUs";"serverless";"DE North"
"d72b0fc2-5dd7-4d47-afef-7bdc772c4a43";"0.010119";"Azure Cosmos DB";"1/Hour";"AP1 - 100 RUs";"autoscale";"DE West Central"
"51499277-e67a-4ed0-a3f6-92707ee76533";"0.137457";"Storage";"1 GB/Month";"RA-GRS Data Stored";"Files";"DE North"
"3ffb11ef-42d8-535f-977b-c59c7fb9ed1b";"2.334254";"Virtual Machines";"1 Hour";"E32ds v4";"Edsv4 Series Windows";"DE West Central"
"682fad4c-058d-5e7d-a429-c124f0706118";"0.256363";"Virtual Machines";"1 Hour";"E20 v4 Low Priority";"Ev4 Series";"DE West Central"
"36ed5a2d-6f78-4a07-b550-4e977fc7ce09";"0.495017";"Azure App Service";"1 Hour";"P3 v2";"Premium v2 Plan - Linux";"DE North"
"8c982b55-c9c3-4691-a13a-47ab37028dfb";"0.02631";"Storage";"1 GB/Month";"Hot ZRS Data Stored";"Azure Data Lake Storage Gen2 Flat Namespace";"DE North"
"8f5b6ae6-1a50-4587-a2e6-0d3a743730a9";"0.077161";"Storage";"1 GB/Month";"GRS Data Stored";"Standard Page Blob";"DE West Central"
"cd5e52ab-281f-599b-84b4-e1cdde530f10";"0.291781";"Virtual Machines";"1 Hour";"E4d v4";"Edv4 Series";"DE West Central"
"36933197-7d9b-5a1f-93b1-aa2649bdb477";"6.007669";"HDInsight";"1 Hour";"Esv3 Type2";"Ev3/ESv3 Series";"DE West Central"
"7644dbd9-fb10-4891-9947-eab154769fd3";"0.001644";"Storage";"10K";"ZRS Protocol Operations";"Files v2";"DE North"
"749782bd-2ce7-49e0-bc82-92c9c8861811";"0.3272";"Virtual Machines";"1 Hour";"F8s v2";"FSv2 Series";"DE West Central"
"fc0ca212-0dc9-403e-af73-dcb043573485";"0.065777";"Backup";"1 GB/Month";"GRS Data Stored";"";"DE North"
"813a6b8b-09bf-4aef-bd4e-88947a64ff3c";"31.492195";"Virtual Machines";"1 Hour";"M128ms";"MS Series";"DE West Central"
"d977af37-bf73-49d5-9325-f2266a271a21";"1.644435";"Azure App Service";"1 Hour";"P3";"Premium Plan";"DE North"
"5d4110ed-a72e-4f07-81b1-a5e265349c89";"0.438516";"Virtual Machines";"1 Hour";"D15 v2/DS15 v2 Low Priority";"Dv2/DSv2 Series";"DE North"
"f2e600d1-6382-51d6-89f1-916fba2e0bb8";"0.038791";"Virtual Machines";"1 Hour";"D4 v4 Low Priority";"Dv4 Series Windows";"DE West Central"
"b5cacc64-e669-5d71-8844-f099dca79199";"0.008433";"Storage";"1 GB";"Cool Data Returned for Query Acceleration";"Azure Data Lake Storage Gen2 Hierarchical Namespace";"DE West Central"
"f947ffe9-43e1-5c23-a8a4-ac95cd83f4bc";"0.217149";"Azure Synapse Analytics";"1 Hour";"vCore";"Data Flow - General Purpose";"DE West Central"
"6728379b-402b-41d0-8dc1-ae32d3d5877d";"0.517786";"HDInsight";"1 Hour";"A8m v2";"Av2 Series";"DE West Central"
"b64e7e7b-214a-4724-aa12-89f21f7a94c9";"0.301901";"Application Gateway";"1 Hour";"Large Gateway";"Basic";"DE West Central"
"47378639-d5ec-4bb3-98c9-7e3e5587afba";"0.189742";"Redis Cache";"1 Hour";"C3 Cache Instance";"Standard";"DE West Central"
"84dfb4be-5a5f-4e8c-b751-43e60b275d8a";"0.023612";"Application Gateway";"1 Hour";"Small Gateway";"Basic";"DE West Central"
"4132ef54-318b-490b-b9ed-d09de13fcf25";"35.259216";"Storage";"1/Month";"P15 Disks";"Premium Page Blob";"DE West Central"
"3a40273c-00ed-5113-ae57-c8b7feb48f4a";"0.225921";"SQL Database";"1 Hour";"Zone Redundancy vCore";"Single/Elastic Pool General Purpose - Compute Gen5";"DE West Central"
"1f48c22b-2eb3-5661-bb74-6df3798176f1";"0.0";"Storage";"1M";"Cool RA-GRS Blob Inventory";"Tiered Block Blob";"DE West Central"
"736a0ab0-fe34-4437-a0de-f5e341be0262";"0.512726";"Virtual Machines";"1 Hour";"E8 v3/E8s v3";"Ev3/ESv3 Series";"DE West Central"
"091e6bca-d969-447d-b3dc-3cd50e09908c";"0.000394";"Storage";"10K";"Read Operations";"Tables";"DE North"
"7d9444eb-9909-5116-85a4-460d076f55fe";"0.465501";"Virtual Machines";"1 Hour";"D48 v4 Low Priority";"Dv4 Series";"DE West Central"
"a0cb69d2-2757-46f3-accd-0888f3596b90";"0.629197";"SQL Database";"1 Hour";"vCore";"Single General Purpose - Serverless - Compute Gen5";"DE North"
"e8d810af-26e6-4c67-8307-0270eb056255";"0.131554";"Storage";"100";"Archive Iterative Write Operations";"General Block Blob v2 Hierarchical Namespace";"DE West Central"
